Title,Year,Rating
The Shawshank Redemption,1994,9.26
The Godfather,1972,9.17
The Dark Knight,2008,8.98
The Godfather: Part II,1974,8.98
12 Angry Men,1957,8.92
Schindler's List,1993,8.90
The Lord of the Rings: The Return of the King,2003,8.88
Pulp Fiction,1994,8.87
Il buono. il brutto. il cattivo,1966,8.79
The Lord of the Rings: The Fellowship of the Ring,2001,8.78
Fight Club,1999,8.78
Inception,2010,8.75
Forrest Gump,1994,8.75
Star Wars: Episode V - The Empire Strikes Back,1980,8.70
The Lord of the Rings: The Two Towers,2002,8.69
The Matrix,1999,8.67
Goodfellas,1990,8.64
One Flew Over the Cuckoo's Nest,1975,8.64
Shichinin no samurai,1954,8.60
Se7en,1995,8.59
La vita è bella,1997,8.58
Cidade de Deus,2002,8.58
Gisaengchung,2019,8.57
The Silence of the Lambs,1991,8.57
It's a Wonderful Life,1946,8.57
Interstellar,2014,8.56
Star Wars,1977,8.56
Saving Private Ryan,1998,8.54
Sen to Chihiro no kamikakushi,2001,8.54
The Green Mile,1999,8.53
Léon,1994,8.51
The Usual Suspects,1995,8.50
Seppuku,1962,8.50
The Lion King,1994,8.49
Gladiator,2000,8.48
The Departed,2006,8.48
American History X,1998,8.48
The Pianist,2002,8.48
Terminator 2: Judgment Day,1991,8.48
Back to the Future,1985,8.48
Modern Times,1936,8.48
Psycho,1960,8.47
City Lights,1931,8.47
The Intouchables,2011,8.47
Whiplash,2014,8.46
Joker,2019,8.46
The Prestige,2006,8.45
Once Upon a Time in the West,1968,8.45
Hotaru no haka,1988,8.44
Casablanca,1942,8.43
Avengers: Infinity War,2018,8.43
Nuovo Cinema Paradiso,1988,8.42
Rear Window,1954,8.42
Alien,1979,8.42
Apocalypse Now,1979,8.42
Memento,2000,8.41
Raiders of the Lost Ark,1981,8.41
The Great Dictator,1940,8.41
Django Unchained,2012,8.39
The Lives of Others,2006,8.39
Paths of Glory,1957,8.37
The Shining,1980,8.37
Anand,1971,8.37
Avengers: Endgame,2019,8.36
WALL·E,2008,8.36
Sunset Blvd.,1950,8.36
Spider-Man: Into the Spider-Verse,2018,8.35
Mononoke-hime,1997,8.35
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.35
Oldeuboi,2003,8.35
Witness for the Prosecution,1957,8.35
The Dark Knight Rises,2012,8.33
Once Upon a Time in America,1984,8.33
Aliens,1986,8.32
Kimi no na wa.,2016,8.31
